,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
308,"Sri Sharada Residency,ALEAP Industrial Area, Gajularamaram,Hyderabad","It is a beautiful 1 BHK Apartment. Semi-furnished property available near metro. The property is on the floor number 2 in a building which has 4 floors. Tenants prefer this affordable address which is Bhavani Nagar, Gajularamaram. Spacious property available for rent only in Gajularamaram. Properties on rent in Hyderabad, contact for more information. An amount of Rs 6500 levied as security charges is applicable. Property for rent available at an unbeatable price of Rs 6500. Best 450 sq ft built up area property available at best rent, your search ends right here. Rent this 450 sq ft (Carpet A...Read more","6,500",1,450,Flat, Semi Furnished ,Sri Sharada Residency, Gajularamaram
309,"Krishna Reddy Pet, Hyderabad","Rent this Independent House that matches your requirements and budget. Enviable homes for rent available, grab your favourite 2 BHK property now. Best Semi-furnished property available here. Property on rent available at affordable in posh locality of Hyderabad. House for rent available in Krishna Reddy Pet. Fee of Rs 20000 for security charges apply. Rent of Rs 10000 excludes maintenance charges. Looking for up to 1500 sq ft built up area property near your office location, this property is a perfect fit for you. Rent this 1000 sq ft (Carpet Area) property at an economical price.  All bedroom...Read more","10,000",2,1500,Independent, Semi Furnished ,Krishna Reddy Pet, Krishna Reddy Pet
310,"Sri Sai Tarun Enclave, LB Nagar,Hyderabad","Rent this fabulous Semi-furnished property at an affordable price. Your search for 2 BHK property near your workplace is over. Check out this beautiful property available on rent. It is a beautiful Independent Floor. Spacious property available for rent only in L B Nagar. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. The property is on the floor number 2 in a building which has 3 floors. Check out this beautiful, spacious property located near 3-2-140, Road No 5, Shatawahana Nagar, L B Nagar, Hyderabad. No negotiation on security charges of ...Read more","12,000",2,1480,Independent, Semi Furnished ,Sri Sai Tarun Enclave, LB Nagar
311,"Doctors colony,Hyder Shah Kote, Bandlaguda Jagir,Hyderabad","This is a modern and stylish home available for affordable rent in Hyderabad. It is a 2 BHK Independent House situated at Bandlaguda. Designed to meet your lifestyle needs, the Independent House provides a range of modern amenities for the comfort of the residents. It is Furnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The 2 BHK unit is elegantly designed to meet your housing needs. The Independent House has 2 bedrooms. It has 2 bathroom. The 2 BHK unit also includes 2 balcony giving splendid views of the surroundings. The built-up area of the Indepen...Read more","13,000",2,1350,Independent, Semi Furnished ,Doctors colony, Bandlaguda Jagir
312,"New Santoshnagar, Santosh Nagar,Hyderabad","It is a Unfurnished 1 BHK Independent Floor. The property is on the floor number 0 in a building which has 1 floors. World-class property available for rent in Hyderabad. Sprawling property available at affordable rent in Santosh Nagar. Check out this 750 sq ft (Carpet Area) property with spacious rooms. Best 800 sq ft built up area property available at best rent, your search ends right here. Check out these 10 photos for this affordable property available on rent. This property has 2 big bath. Property on rent near metro is available from 2022-02-05. Want to rent a property near Golden Jubil...Read more","8,000",1,800,Independent, Unfurnished ,New Santoshnagar, Santosh Nagar
313,"Annapurna Enclave, Chandanagar,Hyderabad",Rent this fabulous Unfurnished property at an affordable price. Come forward to make this coveted address your home. This beautiful 1 BHK is available on rent now. Come home to a Independent House you have always aspired for. Budget properties on rent is now in Hyderabad. Property for rent available in Chandanagar. This luxurious property is available at an affordable rent of Rs 9000. Affordable property on rent with only Rs 9000 as security charges. Find best 900 sq ft (Carpet Area) property at an affordable rent here. Searching for up to 1000 sq ft built up area property at an affordable ren...Read more,"9,000",1,1000,Independent, Unfurnished ,Annapurna Enclave, Chandanagar
314,"Hyder Shah Kote, Bandlaguda Jagir,Hyderabad","Independeny House for rent. Unit on Ground floor. Modular kitchen, Cupboards in Bedrooms. Unit has power back, AC in master bedroom, Geyser in bathroom. It is located in a community that has CCTV monitoring. Unit has a covered parking space. It is a corner unit, hence sufficient light and fresh air. Located at at Bandlaguda, Appa junction. Near Kidzee Hydershakote, Suncity, IRIS FLORESTS, and Bachpan play school, AHPS, Bandlaguda, Don Bosco School.  Very close to city's best hospital, that is, Rishitha Hospitals, Urja - The Healing Space, and Crayons Hospital.. Easy Access- just 20 minute driv...Read more","12,000",2,1200,Independent, Semi Furnished ,Hyder Shah Kote, Bandlaguda Jagir
315,"Apurupa Jagapati Heights,Sai Nagar, Uppal,Hyderabad","This is a modern and stylish home available for affordable rent in Hyderabad. It is a 3 BHK Apartment situated at Uppal. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residents. It is Furnished. Modern home seekers will experience a comfortable living in this 3 BHK property. The Apartment is on 3 floor, and the total number of floors is 5. The 3 BHK unit is elegantly designed to meet your housing needs. The Apartment has 3 bedrooms. It has 2 bathroom. The 3 BHK unit also includes 2 balcony giving splendid views of the surroundi...Read more","21,000",3,1425,Flat, Semi Furnished ,Apurupa Jagapati Heights, Uppal
316,"Anaghapuri colony road no 1,Mallika Arjun Nagar, Boduppal,Hyderabad",Newly constructed building with fully secured Cc cameras Read more,"8,500",2,1800,Independent, Unfurnished ,Anaghapuri colony road no 1, Boduppal
317,"Nizam Colony, Hakimpet,Hyderabad","A spacious home designed for families aspiring for a modern lifestyle, this Independent House is available for affordable rent in Hyderabad. It is a 3 BHK Independent House situated in Hakimpet at a coveted location with well-developed infrastructure. This Independent House is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Furnished. The 3 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is South-West facing, built as per Vastu principles. There ar...Read more","15,000",3,1700,Independent, Semi Furnished ,Nizam Colony, Hakimpet
318,"Janapriya Apartment Phase 1,Miyapur, Hyderabad","Best Unfurnished property available here. 2 BHK Apartment available for rent.  Homes that define aspirational lifestyle now in Hyderabad. The property is on floor number 1 in a building with 4 floors. House for rent available in Miyapur. Monthly rent is Rs 9500. Contact for more information. An amount of Rs 19000 levied as security charges is applicable. This is a beautiful, spacious 605 sq ft built up area property available within your price range. TThis 605 sq ft (Carpet Area) property has big, sprawling rooms. Rental property available at affordable prices, check 14 pictures. Property on r...Read more","9,500",2,605,Flat, Unfurnished ,Janapriya Apartment Phase 1, Miyapur
319,"swarna nilayam,Prakash Nagar, Begumpet,Hyderabad","BEGUMPET, BANJARAHILLS, KARKHANA. (2 BHK FULLY SEMI FURNISHED)  AIR-CONDITIONED. WITH COTS, TV, FRIDGE GAS, SOFA, DINING, PURIFIER, (BACHELOR'S, FAMILIES, OFFICE'S). WEEKLY, MONTHLY, RENT 26K ONWARDS. Read more","26,000",2,1500,Flat, Fully Furnished ,swarna nilayam, Begumpet
320,"Aminpur, Hyderabad","Ready to move semifurnished flats, NRI Anand Nagar gated community, 24 hrs security, backup genarator,pollution  free environment,Read more","12,500",2,1080,Flat, Semi Furnished ,Aminpur, Aminpur
321,"RNG Sunrise C Wing,Bachupally, Hyderabad",Rent 3 BHK Apartment in a well-connected locality Find an affordable Semi-furnished property here. Looking for rental property in Hyderabad? Sprawling property available at affordable rent in Pragathi Nagar. The property is on floor number 3 in a building with 5 floors. Property available for property at Rs 24000. Contact for best deal.   Security amount of Rs 48000 is fixed. Your search for a spacious 1615 sq ft built up area property at an affordable price ends right here. Check out 35 photographs of this limited-edition property available at unbeatable rent. 3 bathroom has bathtub provision...Read more,"22,000",3,1615,Flat, Semi Furnished ,RNG Sunrise C Wing, Bachupally
322,"ALEAP Industrial Area, Gajularamaram,Hyderabad","This spacious 3 BHK Apartment is Semi-furnished. Check out Gajularamaram for renting beautiful homes at affordable prices. The property is on floor number 2 in a building with 4 floors. Affordable properties now on rent in Hyderabad. Security amount of Rs 36000 will be charged. Monthly rent is Rs 15000. Contact for more information. Your search for a spacious 1250 sq ft built up area property at an affordable price ends right here. Rent this 1250 sq ft (Carpet Area) property at an economical price.  Beautiful, modern home available at affordable rent, check these 7 photographs. Flats on rent n...Read more","15,000",3,1250,Flat, Semi Furnished ,ALEAP Industrial Area, Gajularamaram
